name,dob,designation,workType,email,phoneNumber,adharNumber,gender,address,shift
Mary Bradley,1929-05-07,Technician,Full-time,brooke16@example.org,+1-351-271-6642x30584,825470983155,Male,"3551 Mark Plain Suite 993
Lake Kayla, ID 44877",12B
Rachel Reed,1915-04-14,Engineer,Full-time,sarah95@example.org,(639)814-2782,281582407923,Male,"PSC 9245, Box 3613
APO AP 94215",12B
Thomas Nicholson II,1982-04-28,Assistant,Temporary,walkerbenjamin@example.com,4537889647,975999441128,Female,"1374 Scott Oval
Aaronborough, SC 15573",8G
Michael Morgan,1999-03-28,Engineer,Full-time,echerry@example.net,419.615.6941,730184352364,Female,"386 Rebecca Cliffs Suite 577
Burgessview, TN 36786",12B
Anthony Smith,1933-08-27,Supervisor,Contract,susanfletcher@example.net,001-303-321-0106,169146274260,Female,"32482 Billy Street Suite 514
Michaelbury, MA 54202",10A
Thomas White,1953-10-30,Supervisor,Contract,melissa73@example.org,493-230-2483,671983092654,Male,"090 Sanchez Meadow Apt. 226
Rodneymouth, WA 48619",GS
Karen Russell,2016-01-25,Manager,Part-time,flemingedward@example.net,6574628829,953296963267,Male,"924 Jesse Brook Apt. 693
Brooksport, AS 84856",10A
Anthony Morales,2001-04-18,Manager,Part-time,baileycharles@example.net,(764)312-7166x1507,538749684909,Male,"702 Hoffman Prairie
North Ryanview, MP 02129",10A
Lisa Moore,1931-04-24,Technician,Part-time,rrichardson@example.net,+1-282-856-9300x25296,906790066085,Female,"13991 Craig Corners
Port Sandra, ND 74944",8A
Sarah King,1972-02-21,Supervisor,Full-time,williamswilliam@example.org,481-695-8704,672482869192,Female,"895 Johnson Parkways Apt. 357
West Adrian, CA 66703",8G
Joshua Rodriguez,1960-08-14,Assistant,Part-time,rmitchell@example.com,001-234-387-4089,126394554918,Male,"24076 Elizabeth Viaduct Suite 798
Port Jason, WA 21640",12A
Tina Perez,1942-08-10,Engineer,Temporary,michaelgarcia@example.org,(953)287-2057x23765,747303874031,Male,"3152 Rice Shore Apt. 719
West Katherinehaven, MN 69428",12A
Crystal Osborn,1985-01-05,Supervisor,Temporary,daniel93@example.net,(783)290-2734,121255801933,Male,"148 Patrick Mountains Suite 717
Bakerbury, TX 09435",12B
Michelle Bowman,1924-02-14,Supervisor,Contract,christopher45@example.net,941-369-0599x5241,987680960884,Female,"440 Peter Locks
Elliottton, ME 86160",8B
Jon Mcclain,1953-01-19,Manager,Part-time,agarcia@example.net,5204009166,438896433798,Female,"1141 Ramirez Keys Suite 893
West Juan, IN 38196",10A
Dennis Chapman,1940-01-05,Engineer,Full-time,brian92@example.net,257.318.3789x839,556552129076,Male,"6662 Nelson Green Suite 449
Port Mark, MH 50490",8G
Sarah Hawkins,1977-01-26,Engineer,Temporary,ellisleslie@example.org,(935)669-8388,890453370104,Male,"406 Lewis Divide
Dayfort, FM 17049",12A
Angela Coleman,1912-08-02,Technician,Full-time,catherinerivera@example.com,001-435-345-3038x092,996233034710,Male,"953 Waters Stream Suite 998
Matthewberg, TX 14295",8B
Douglas Love,1921-03-21,Engineer,Temporary,bsimpson@example.net,+1-681-947-1367x984,707600500732,Female,"0530 Courtney Cliffs
East Codyland, SD 02983",12B
Clayton Knight,2022-09-12,Engineer,Temporary,callison@example.com,+1-712-971-1623x099,577432385985,Female,"1881 Smith Road Apt. 836
Russellborough, NE 18573",8G
Jon Freeman,1975-03-25,Engineer,Contract,meganbrooks@example.com,(692)362-9402,284104210635,Female,"5781 Mark Run Suite 722
Howardtown, NV 37818",8A
Jamie Franco,2000-10-29,Assistant,Contract,jeffreysilva@example.net,3323277349,202793549736,Male,"20182 Pineda Plains Apt. 257
Calebburgh, NE 44212",12B
Karen Norman,2020-10-10,Engineer,Full-time,walshamanda@example.org,367-521-5779,325493689312,Female,"95648 Livingston Fort
Brettborough, NM 82765",10A
Richard Miller,1963-08-07,Assistant,Part-time,jessicablackburn@example.org,(618)831-6276x137,986547972350,Male,"024 Thompson Ways
West Kyleside, KY 16329",12A
Jeffrey Sanchez,1917-08-08,Supervisor,Part-time,perezfelicia@example.com,001-931-547-1205x326,341323627616,Female,"733 Andrew Vista Suite 990
Jacksonfort, WA 33042",8B
Laura Davis,1972-02-21,Assistant,Contract,timothy50@example.org,473-701-2400x22142,208042324853,Female,"37296 Sharon Island
Melissaburgh, VA 88825",10A
David Cruz,1959-11-24,Supervisor,Temporary,ashleytodd@example.org,307-335-9392x78661,444846879120,Male,"26004 James Union
Port Nicolefurt, SC 80424",8G
David Gibbs,2014-12-20,Technician,Contract,mckeejasmine@example.net,001-535-441-8147x9611,798676142020,Male,"44979 Marissa Branch Suite 560
Lake Barryside, MO 21132",12A
Thomas Williams,1962-07-10,Technician,Full-time,rangelashley@example.org,527.267.7888x87495,306357906039,Male,"436 Gilmore Fort Apt. 600
Mariaberg, RI 23313",8A
Janet Ross,2017-12-02,Assistant,Full-time,dbentley@example.net,+1-697-779-1815,683848259782,Male,"5800 Katelyn Falls Suite 551
Lake Kimberlyburgh, TX 90229",GS
Timothy Baker,2009-03-14,Supervisor,Full-time,liurebecca@example.org,+1-809-275-6606x2086,805174906630,Male,"564 Jean Groves
Thomasmouth, CO 97080",8B
Kevin Simmons,1908-02-24,Manager,Part-time,wilcoxdakota@example.com,7488464708,587164307719,Female,"3438 Jackson Grove
South Melvin, IA 31531",8G
Jennifer Montgomery,1982-06-27,Technician,Full-time,tiffanyortiz@example.net,490-732-5437x67272,656673149613,Female,"005 Julie Squares
Kathleenchester, DE 99789",12B
Michael Arnold,1978-02-21,Supervisor,Full-time,dominiqueweaver@example.org,918-661-9091,970624686286,Female,"068 Gardner Mission
Juliafurt, LA 96100",8C
Lori Nelson,2001-12-28,Assistant,Part-time,carlawilkinson@example.net,847-836-8437x38564,457402405104,Female,"PSC 3053, Box 1087
APO AA 10558",12A
Gina Thompson,1948-02-26,Supervisor,Full-time,davisnathan@example.org,+1-429-990-4135,288841361499,Male,"Unit 5420 Box 4452
DPO AA 54397",12B
Mary Bell,2002-05-04,Technician,Temporary,marymorrow@example.net,8696797284,502570128815,Male,"Unit 2839 Box 4366
DPO AE 06419",8G
Christina Perez,2014-08-08,Supervisor,Temporary,brucesmith@example.org,(736)998-2391x282,939804299586,Female,"6257 Jeffrey Circle
West Williamland, NY 69151",12A
Bryan Hernandez,1923-05-10,Technician,Temporary,kterry@example.net,(408)385-9646x7677,282170040186,Female,"USS Mosley
FPO AE 48540",12B
Victoria Mendoza,1933-07-14,Technician,Part-time,jeffrey11@example.net,819-845-8507,469933610795,Female,"309 Travis Stravenue
North Mason, VA 84423",8A
Amber Miller,1978-06-07,Supervisor,Full-time,christianrobinson@example.com,961-705-0992,219070847500,Female,"7070 French Fort
Deannaside, AZ 41626",12A
Jacqueline Haas,2008-02-10,Manager,Temporary,rachel89@example.org,+1-288-360-9939x25989,333131919766,Female,"430 Mann Lakes
Mariamouth, PA 06703",8A
Latoya Hayes,2006-10-23,Supervisor,Full-time,williamrodgers@example.net,6274620778,995353218950,Female,"Unit 8733 Box 3012
DPO AE 34561",8A
Jonathan Lang,1996-07-22,Assistant,Full-time,nielsenkrista@example.net,915-648-9590x64472,698877649305,Female,"7871 Emily Valleys Suite 262
New Jonathan, FL 00749",12A
Ashley Carey,1940-02-07,Assistant,Full-time,julie28@example.org,(946)533-2453,611927247469,Male,"625 Christopher Rue Suite 630
Gregorymouth, MT 17606",GS
Stephanie Buckley,1975-03-25,Engineer,Full-time,fdavis@example.org,355.271.6859,662552178650,Male,"7489 Cross Crossroad Suite 661
Traceytown, WY 03110",8G
Larry Mcdowell,2023-01-03,Assistant,Full-time,joy24@example.org,001-684-278-3631x49234,968154379649,Male,"34069 George Haven
New Paul, MN 33505",10A
